title,artist,genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,popularity,has_win_award
Love The Way You Lie,Eminem,detroit hip hop,2010,87,93,75,-5,52,64,263,24,23,82,1
TiK ToK,Kesha,dance pop,2010,120,84,76,-3,29,71,200,10,14,80,0
Bad Romance,Lady Gaga,dance pop,2010,119,92,70,-4,8,71,295,0,4,79,0
Just the Way You Are,Bruno Mars,pop,2010,109,84,64,-5,9,43,221,2,4,78,0
Baby,Justin Bieber,canadian pop,2010,65,86,73,-5,11,54,214,4,14,77,0
Dynamite,Taio Cruz,dance pop,2010,120,78,75,-4,4,82,203,0,9,77,0
Secrets,OneRepublic,dance pop,2010,148,76,52,-6,12,38,225,7,4,77,0
Empire State of Mind (Part II) Broken Down,Alicia Keys,hip pop,2010,93,37,48,-8,12,14,216,74,3,76,0
Only Girl (In The World),Rihanna,barbadian pop,2010,126,72,79,-4,7,61,235,13,4,73,0
Club Can't Handle Me (feat. David Guetta),Flo Rida,dance pop,2010,128,87,62,-4,6,47,235,3,3,73,0
Marry You,Bruno Mars,pop,2010,145,83,62,-5,10,48,230,33,4,73,0
Cooler Than Me - Single Mix,Mike Posner,dance pop,2010,130,82,77,-5,70,63,213,18,5,73,0
Telephone,Lady Gaga,dance pop,2010,122,83,83,-6,11,71,221,1,4,73,0
Like A G6,Far East Movement,dance pop,2010,125,84,44,-8,12,78,217,1,45,72,0
OMG (feat. will.i.am),Usher,atl hip hop,2010,130,75,78,-6,36,33,269,20,3,72,0
Eenie Meenie,Sean Kingston,dance pop,2010,121,61,72,-4,11,83,202,5,3,71,0
The Time (Dirty Bit),The Black Eyed Peas,dance pop,2010,128,81,82,-8,60,44,308,7,7,70,0
Alejandro,Lady Gaga,dance pop,2010,99,80,63,-7,36,37,274,0,5,69,0
Your Love Is My Drug,Kesha,dance pop,2010,120,61,83,-4,9,76,187,1,10,69,0
Meet Me Halfway,The Black Eyed Peas,dance pop,2010,130,63,80,-7,32,40,284,0,7,68,0
Whataya Want from Me,Adam Lambert,australian pop,2010,186,68,44,-5,6,45,227,1,5,66,0
Take It Off,Kesha,dance pop,2010,125,68,73,-5,9,74,215,0,3,66,0
Misery,Maroon 5,pop,2010,103,81,70,-5,22,73,216,0,4,65,0
All The Right Moves,OneRepublic,dance pop,2010,146,95,53,-4,28,65,238,26,5,65,0
Animal,Neon Trees,indie pop,2010,148,83,48,-6,38,74,212,0,4,65,0
Naturally,Selena Gomez & The Scene,dance pop,2010,133,90,61,-5,5,88,203,2,5,64,0
I Like It,Enrique Iglesias,dance pop,2010,129,94,65,-3,6,73,231,2,9,63,0
Teenage Dream,Katy Perry,dance pop,2010,120,80,72,-5,13,59,228,2,4,63,0
California Gurls,Katy Perry,dance pop,2010,125,75,79,-4,18,40,235,0,5,62,0
3,Britney Spears,dance pop,2010,135,71,70,-2,14,79,213,5,5,62,0
My First Kiss - feat. Ke$ha,3OH!3,dance pop,2010,138,89,68,-4,36,83,192,1,8,62,0
Blah Blah Blah (feat. 3OH!3),Kesha,dance pop,2010,120,84,75,-3,42,52,172,8,12,62,0
Imma Be,The Black Eyed Peas,dance pop,2010,92,52,60,-7,31,41,258,18,37,62,0
Try Sleeping with a Broken Heart,Alicia Keys,hip pop,2010,111,82,50,-5,13,55,249,16,11,62,0
Sexy Bitch (feat. Akon),David Guetta,dance pop,2010,130,63,81,-5,13,80,196,8,5,61,0
Bound To You - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,dance pop,2010,164,41,29,-5,13,7,264,83,3,61,0
If I Had You,Adam Lambert,australian pop,2010,131,91,65,-4,37,79,228,1,11,59,0
Rock That Body,The Black Eyed Peas,dance pop,2010,125,91,72,-6,43,84,269,2,10,59,0
Dog Days Are Over,Florence + The Machine,art pop,2010,150,81,50,-5,12,26,253,3,9,58,0
Something's Got A Hold On Me - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,dance pop,2010,150,85,51,-4,12,72,185,47,27,58,0
Doesn't Mean Anything,Alicia Keys,hip pop,2010,104,41,71,-7,10,10,273,4,3,57,0
Hard,Rihanna,barbadian pop,2010,182,75,31,-4,65,16,251,1,11,57,0
Loca,Shakira,colombian pop,2010,112,87,80,-4,9,85,193,19,7,56,0
You Lost Me,Christina Aguilera,dance pop,2010,43,39,23,-6,14,7,257,85,4,56,0
Not Myself Tonight,Christina Aguilera,dance pop,2010,120,81,76,-5,56,54,186,0,4,55,0
Written in the Stars (feat. Eric Turner),Tinie Tempah,dance pop,2010,91,95,64,-4,18,57,220,6,7,52,0
DJ Got Us Fallin' In Love (feat. Pitbull),Usher,atl hip hop,2010,120,86,66,-3,8,65,221,3,11,52,0
Castle Walls (feat. Christina Aguilera),T.I.,atl hip hop,2010,80,86,45,-5,26,58,329,7,39,49,0
Break Your Heart,Taio Cruz,dance pop,2010,122,90,67,-5,8,63,186,0,3,33,0
